COOPID, YEAR, MONTH, DAY, precipitation
85658,2016,2,1,0.1
85658,2016,2,2,1.8
85658,2016,2,5,0.4
85658,2016,2,16,0.9
85658,2016,2,25,0.2
85658,2016,3,21,0.1
85658,2016,4,16,0.3
85658,2016,4,17,0.1
85658,2016,5,4,0.4
85658,2016,5,5,3.6
85658,2016,5,19,2
85658,2016,5,22,1
85658,2016,5,29,0.5
85658,2016,5,31,0.3
85658,2016,6,1,0.25
85658,2016,6,4,0.3
85658,2016,6,8,0.25
85658,2016,6,9,1.25
85658,2016,6,10,0.3
85658,2016,6,11,0.25
85658,2016,6,12,0.7
85658,2016,6,16,0.7
85658,2016,6,17,0.12
85658,2016,6,19,0.65
85658,2016,6,20,0.15
85658,2016,6,22,2
85658,2016,7,2,0.4
85658,2016,7,3,0.15
85658,2016,7,16,1
85658,2016,7,18,0.55
85658,2016,7,20,0.1
85658,2016,7,21,0.8
85658,2016,7,22,0.1
85658,2016,7,24,0.1
85658,2016,7,27,0.2
85658,2016,8,2,0.2
85658,2016,8,3,1.2
85658,2016,8,7,0.1
85658,2016,8,8,0.1
85658,2016,8,9,2
85658,2016,8,10,0.38
85658,2016,8,14,0.4
85658,2016,8,15,0.1
85658,2016,8,16,0.5
85658,2016,8,17,0.3
85658,2016,8,18,0.2
85658,2016,8,24,0.25
85658,2016,8,26,0.4
85658,2016,8,27,0.5
85658,2016,8,28,0.1
85658,2016,8,29,0.9
85658,2016,8,30,0.3
85658,2016,8,31,1.88
85658,2016,9,4,0.15
85658,2016,9,6,0.7
85658,2016,9,7,0.25
85658,2016,9,9,0.1
85658,2016,9,11,1.15
85658,2016,9,12,0.3
85658,2016,9,14,0.15
85658,2016,9,20,0.1
85658,2016,9,24,0.1
85658,2016,9,25,0.5
85658,2016,9,28,0.5
85658,2016,10,1,2.5
85658,2016,10,2,0.25
85658,2016,10,3,0.3
85658,2016,10,4,2.4
85658,2016,10,5,0.1
85658,2016,10,7,1.2
85658,2016,10,16,2.2
85658,2016,10,17,0.6
85658,2016,10,21,0.2
85658,2016,10,27,0.6
85658,2016,10,28,0.1
85658,2016,10,30,0.6
85658,2016,10,31,0.15
85658,2016,11,6,0.2
85658,2016,11,16,0.15
85658,2016,11,28,0.15
85658,2016,12,8,0.15
85658,2016,12,9,0.85
85658,2016,12,10,0.2
85658,2016,12,11,1.6
85658,2016,12,12,0.2
85658,2016,12,24,0.2
85658,2017,1,5,0.7
85658,2017,1,12,0.2
85658,2017,1,14,0.3
85658,2017,1,23,0.7
85658,2017,1,30,0.4
85658,2017,2,23,0.95
85658,2017,3,3,0.1
85658,2017,3,7,0.1
85658,2017,3,12,0.25
85658,2017,3,13,0.1
85658,2017,3,14,0.5
85658,2017,3,24,0.25
85658,2017,3,25,0.1
85658,2017,3,26,0.85
85658,2017,4,13,0.1
85658,2017,4,22,0.1
85658,2017,4,23,0.2
85658,2017,4,24,0.7
85658,2017,5,3,0.1
85658,2017,5,6,0.25
85658,2017,5,15,0.42
85658,2017,5,19,1.15
85658,2017,5,25,0.2
85658,2017,5,26,0.1
85658,2017,6,3,0.85
85658,2017,6,4,0.95
85658,2017,6,6,0.25
85658,2017,6,7,2
85658,2017,6,8,2.5
85658,2017,6,10,0.45
85658,2017,6,13,0.7
85658,2017,6,14,0.15
85658,2017,6,15,0.15
85658,2017,6,16,0.42
85658,2017,6,17,0.35
85658,2017,6,18,0.78
85658,2017,6,20,0.85
85658,2017,7,4,0.1
85658,2017,7,10,0.25
85658,2017,7,11,0.5
85658,2017,7,12,0.5
85658,2017,7,13,0.6
85658,2017,7,16,0.25
85658,2017,7,17,0.4
85658,2017,7,22,1.2
85658,2017,7,24,0.1
85658,2017,7,29,0.1
85658,2017,7,30,2
85658,2017,7,31,0.15
85658,2017,8,1,0.15
85658,2017,8,2,6.5
85658,2017,8,7,0.4
85658,2017,8,11,0.83
85658,2017,8,12,1.1
85658,2017,8,21,0.95
85658,2017,8,22,0.6
85658,2017,8,24,0.6
85658,2017,8,25,1.9
85658,2017,8,26,1.45
85658,2017,8,27,2.5
85658,2017,9,2,0.5
85658,2017,9,24,0.15
85658,2017,9,26,0.6
85658,2017,9,29,0.3
85658,2017,10,2,0.1
85658,2017,10,3,0.5
85658,2017,10,4,0.4
85658,2017,10,5,1.9
85658,2017,10,6,0.65
85658,2017,10,12,0.15
85658,2017,10,13,0.55
85658,2017,10,15,0.5
85658,2017,10,17,0.25
85658,2017,10,18,0.25
85658,2017,10,22,0.15
85658,2017,10,29,2.7
85658,2017,11,4,0.12
85658,2017,11,5,0.1
85658,2017,11,7,0.05
85658,2017,11,11,0.18
85658,2017,11,14,0.8
85658,2017,11,16,0.4
85658,2017,11,21,1.65
85658,2017,11,28,2.25
85658,2017,12,10,0.6
85658,2017,12,26,0.25
85658,2018,1,3,1.5
85658,2018,1,4,0.1
85658,2018,1,7,0.45
85658,2018,1,8,0.35
85658,2018,1,9,0.23
85658,2018,1,10,1.35
85658,2018,1,12,0.25
85658,2018,1,30,0.3
85658,2018,2,4,0.3
85658,2018,2,9,0.1
85658,2018,2,21,0.01
85658,2018,2,23,0.02
85658,2018,3,8,0.2
85658,2018,4,16,0.4
85658,2018,4,23,0.25
85658,2018,5,4,0.3
85658,2018,5,14,4.25
85658,2018,5,15,0.2
85658,2018,5,18,0.9
85658,2018,5,19,0.6
85658,2018,5,20,2.25
85658,2018,5,21,1.25
85658,2018,5,26,0.6
85658,2018,5,27,0.6
85658,2018,5,28,0.75
85658,2018,5,29,0.72
85658,2018,6,5,0.35
85658,2018,6,7,0.7
85658,2018,6,8,0.25
85658,2018,6,12,0.2
85658,2018,6,14,0.25
85658,2018,6,15,0.2
85658,2018,6,22,0.01
85658,2018,6,23,0.46
85658,2018,6,24,0.88
85658,2018,7,3,0.31
85658,2018,7,4,0.09
85658,2018,7,5,0.01
85658,2018,7,18,0.16
85658,2018,7,19,0.01
85658,2018,7,20,0.04
85658,2018,7,21,0.05
85658,2018,7,23,0.12
85658,2018,7,24,1.33
85658,2018,7,25,1.35
85658,2018,7,26,0.58
85658,2018,7,28,0.29
85658,2018,7,29,0.01
85658,2018,7,30,0.2
85658,2018,7,31,0.75
85658,2018,8,1,0.13
85658,2018,8,2,0.04
85658,2018,8,5,0.01
85658,2018,8,6,0.61
85658,2018,8,11,2.71
85658,2018,8,12,0.24
85658,2018,8,13,0.08
85658,2018,8,18,0.47
85658,2018,8,19,0.29
85658,2018,8,26,0.95
85658,2018,8,28,0.5
85658,2018,8,29,0.47
85658,2018,8,30,0.1
85658,2018,9,1,0.17
85658,2018,9,3,1.35
85658,2018,9,4,1.5
85658,2018,9,8,0.13
85658,2018,9,9,0.11
85658,2018,9,25,0.3
85658,2018,9,30,0.1
85658,2018,10,3,0.28
85658,2018,10,13,0.53
85658,2018,11,4,1.25
85658,2018,11,13,0.5
85658,2018,12,16,0.36
85658,2018,12,21,0.99
85658,2019,1,21,0.47
85658,2019,1,25,0.3
85658,2019,1,26,0.2
85658,2019,1,27,0.4
85658,2019,1,28,0.55
85658,2019,2,1,0.55
85658,2019,2,12,0.1
85658,2019,2,14,1.42
85658,2019,3,10,0.18
85658,2019,3,19,0.1
85658,2019,3,20,1.59
85658,2019,3,29,0.13
85658,2019,4,5,1.67
85658,2019,4,10,0.26
85658,2019,4,20,0.85
85658,2019,5,2,0.52
85658,2019,5,6,1.98
85658,2019,5,7,0.14
85658,2019,5,9,0.52
85658,2019,5,10,0.13
85658,2019,5,14,0.26
85658,2019,6,9,0.14
85658,2019,6,10,1.62
85658,2019,6,12,0.46
85658,2019,6,15,0.65
85658,2019,6,16,0.89
85658,2019,6,17,2.9
85658,2019,6,18,0.97
85658,2019,6,19,1.15
85658,2019,6,29,0.2
85658,2019,6,30,1.4
85658,2019,7,9,0.21
85658,2019,7,10,0.23
85658,2019,7,14,0.23
85658,2019,7,25,0.55
85658,2019,7,26,1.78
85658,2019,8,1,0.47
85658,2019,8,2,1
85658,2019,8,3,0.37
85658,2019,8,4,0.47
85658,2019,8,5,0.31
85658,2019,8,10,0.37
85658,2019,8,12,0.53
85658,2019,8,13,0.11
85658,2019,8,14,1.48
85658,2019,8,20,0.08
85658,2019,9,2,1.03
85658,2019,9,3,1.17
85658,2019,9,13,1.25
85658,2019,9,14,0.22
85658,2019,9,18,0.22
85658,2019,9,22,1.13
85658,2019,10,3,0.33
85658,2019,10,7,0.93
85658,2019,10,8,1.17
85658,2019,10,9,0.54
85658,2019,10,10,0.19
85658,2019,10,11,0.05
85658,2019,10,12,0.23
85658,2019,10,18,1.2
85658,2019,10,27,0.28
85658,2019,11,4,0.53
85658,2019,11,10,0.35
85658,2019,11,14,0.62
85658,2019,11,15,0.2
85658,2019,11,25,0.12
85658,2019,12,3,1.3
85658,2019,12,12,0.83
85658,2019,12,13,1.05
85658,2019,12,20,0.64
85658,2019,12,23,4.7
85658,2019,12,29,0.28
85658,2020,1,18,0.25
85658,2020,1,23,0.2
85658,2020,1,24,0.6
85658,2020,1,30,1.44
85658,2020,2,1,1.73
85658,2020,2,2,0.42
85658,2020,2,8,0.62
85658,2020,2,16,0.82
85658,2020,2,23,0.33
85658,2020,2,27,0.32
85658,2020,3,7,0.15
85658,2020,4,12,0.6
85658,2020,5,1,1.05
85658,2020,5,11,0.73
85658,2020,5,15,0.36
85658,2020,5,16,1.57
85658,2020,5,19,1.07
85658,2020,5,20,0.2
85658,2020,5,21,0.51
85658,2020,5,24,0.25
85658,2020,5,25,2.3
85658,2020,5,26,5
85658,2020,5,27,1.92
85658,2020,6,3,1.11
85658,2020,6,4,0.58
85658,2020,6,14,0.39
85658,2020,6,15,0.2
85658,2020,6,16,0.54
85658,2020,6,18,0.41
85658,2020,6,19,0.12
85658,2020,7,6,0.18
85658,2020,7,7,0.31
85658,2020,7,9,0.5
85658,2020,7,12,1.2
85658,2020,7,14,0.52
85658,2020,7,18,1
85658,2020,8,3,2.6
85658,2020,8,4,1.4
85658,2020,8,20,0.16
85658,2020,8,21,1.12
85658,2020,8,25,0.12
85658,2020,9,10,0.3
85658,2020,9,11,0.11
85658,2020,9,12,0.3
85658,2020,9,13,0.24
85658,2020,9,14,0.26
85658,2020,9,19,0.35
85658,2020,9,22,0.49
85658,2020,9,25,1.96
85658,2020,9,27,0.2
85658,2020,9,28,0.14
85658,2020,10,1,1.3
85658,2020,10,2,0.25
85658,2020,10,3,0.53
85658,2020,10,4,0.3
85658,2020,10,5,0.15
85658,2020,10,10,1.53
85658,2020,10,12,0.1
85658,2020,10,14,0.2
85658,2020,10,17,1.5
85658,2020,10,19,0.2
85658,2020,10,20,0.85
85658,2020,10,21,2.2
85658,2020,10,22,1.08
85658,2020,10,23,0.6
85658,2020,10,25,0.7
85658,2020,10,26,1.2
85658,2020,10,31,1.3
85658,2020,11,1,0.5
85658,2020,11,5,0.1
85658,2020,11,6,0.4
85658,2020,11,7,0.15
85658,2020,11,8,0.9
85658,2020,11,9,6.2
85658,2020,11,10,0.11
85658,2020,11,11,0.25
85658,2020,11,12,0.12
85658,2020,11,13,0.5
85658,2020,11,14,0.1
85658,2020,11,20,0.09
85658,2020,11,22,0.85
85658,2020,11,23,1.5
85658,2020,11,30,0.7
85658,2020,12,1,0.22
85658,2020,12,7,0.18
85658,2020,12,8,0.73
85658,2021,2,7,0.9
85658,2021,2,14,0.1
85658,2021,2,17,3.67
85658,2021,2,25,2.59
85658,2021,3,7,1.16
85658,2021,3,11,0.24
85658,2021,3,20,0.5
85658,2021,4,2,0.27
85658,2021,4,12,1.12
85658,2021,4,13,0.56
85658,2021,4,20,1.56
85658,2021,4,21,0.58
85658,2021,4,26,0.19
85658,2021,5,7,0.3
85658,2021,5,8,1.15
85658,2021,5,10,1.76
85658,2021,5,13,0.9
85658,2021,5,17,0.1
85658,2021,6,1,0.04
85658,2021,6,2,0.1
85658,2021,6,4,0.2
85658,2021,6,6,0.05
85658,2021,6,9,0.22
85658,2021,6,13,0.19
85658,2021,6,15,0.4
85658,2021,6,16,1.41
85658,2021,6,17,0.6
85658,2021,6,18,0.15
85658,2021,6,21,0.12
85658,2021,6,25,1.1
85658,2021,6,27,0.55
85658,2021,6,28,0.55
85658,2021,6,29,0.22
85658,2021,6,30,0.28
85658,2021,7,1,0.59
85658,2021,7,2,0.1
85658,2021,7,3,0.47
85658,2021,7,6,1.39
85658,2021,7,7,0.41
85658,2021,7,11,0.3
85658,2021,7,13,2.01
85658,2021,7,14,1.51
85658,2021,7,26,0.57
85658,2021,7,28,0.62
85658,2021,7,30,0.07
85658,2021,8,2,0.42
85658,2021,8,4,0.89
85658,2021,8,5,0.28
85658,2021,8,12,0.16
85658,2021,8,13,3.01
85658,2021,8,15,0.41
85658,2021,8,17,0.07
85658,2021,8,26,0.11
85658,2021,8,27,0.33
85658,2021,9,1,0.29
85658,2021,9,2,0.16
85658,2021,9,3,1.02
85658,2021,9,4,0.19
85658,2021,9,5,0.11
85658,2021,9,6,0.61
85658,2021,9,10,0.45
85658,2021,9,13,0.29
85658,2021,9,14,0.14
85658,2021,9,16,0.16
85658,2021,9,17,0.43
85658,2021,9,22,0.78
85658,2021,9,23,0.38
85658,2021,9,24,0.48
85658,2021,9,26,0.14
85658,2021,10,2,0.6
85658,2021,10,5,0.25
85658,2021,10,9,0.22
